timestamp,operation,execution_time_ms,memory_mb,network_latency_ms
2025-11-14T13:05:54.319884400+05:30,READ_ALL,1.2416,-2768.0,210.15
2025-11-14T13:05:54.499226200+05:30,READ_ALL,1.0271,-196.0,210.15
2025-11-14T13:05:54.538026+05:30,READ_ALL,0.906,460.0,210.15
2025-11-14T13:05:54.542906900+05:30,READ_ALL,1.4218,1088.0,210.15
2025-11-14T13:05:54.553887900+05:30,READ_ALL,14.7126,80.0,210.15
2025-11-14T13:05:54.716263100+05:30,READ_ALL,1.1345999999999998,-228.0,210.15
2025-11-14T13:05:54.753402+05:30,READ_ALL,1.5246000000000002,756.0,210.15
2025-11-14T13:05:54.753194900+05:30,READ_ALL,1.0639,1564.0,210.15
2025-11-14T13:05:54.760989400+05:30,READ_ALL,0.9345,-664.0,210.15
2025-11-14T13:05:55.023514200+05:30,READ_ALL,1.2057,764.0,210.15
2025-11-14T13:05:55.023873+05:30,READ_ALL,1.2476,2272.0,210.15
2025-11-14T13:05:55.023628400+05:30,READ_ALL,0.9562,1508.0,210.15
2025-11-14T13:05:55.023593+05:30,READ_ALL,12.5986,1508.0,210.15
2025-11-14T13:05:55.024001900+05:30,READ_ALL,2.0877,2252.0,210.15
2025-11-14T13:05:55.186678500+05:30,READ_ALL,0.7441,20.0,210.15
2025-11-14T13:05:55.519424800+05:30,READ_ALL,1.5873,252.0,210.15
2025-11-14T13:05:55.519774+05:30,READ_ALL,1.2899999999999998,252.0,210.15
2025-11-14T13:05:55.519578600+05:30,READ_ALL,4.0765,252.0,210.15
2025-11-14T13:05:55.519387100+05:30,READ_ALL,1.5273,252.0,210.15
2025-11-14T13:05:55.530981900+05:30,READ_ALL,1.4247,-2000.0,210.15
2025-11-14T13:05:55.845639100+05:30,READ_ALL,1.3713,1364.0,210.15
2025-11-14T13:05:55.844923700+05:30,READ_ALL,1.6749,2108.0,210.15
2025-11-14T13:05:55.845222100+05:30,READ_ALL,3.0434,1372.0,210.15
2025-11-14T13:05:55.845458700+05:30,READ_ALL,1.6766,1364.0,210.15
2025-11-14T13:05:55.855770300+05:30,READ_ALL,1.9770999999999999,-916.0,210.15
2025-11-14T13:05:56.154124100+05:30,READ_ALL,3.4730999999999996,-104.0,210.15
2025-11-14T13:05:56.163260400+05:30,READ_ALL,3.7252,660.0,210.15
2025-11-14T13:05:56.163408100+05:30,READ_ALL,0.7850999999999999,660.0,210.15
2025-11-14T13:05:56.163232800+05:30,READ_ALL,3.5611,660.0,210.15
2025-11-14T13:05:56.169571900+05:30,READ_ALL,3.5824,-2276.0,210.15
2025-11-14T13:05:56.480043600+05:30,READ_ALL,4.9698,2020.0,210.15
2025-11-14T13:05:56.479862800+05:30,READ_ALL,4.9551,4980.0,210.15
2025-11-14T13:05:56.480375800+05:30,READ_ALL,9.572199999999999,2020.0,210.15
2025-11-14T13:05:56.480385500+05:30,READ_ALL,0.9974000000000001,2020.0,210.15
2025-11-14T13:05:56.480497600+05:30,READ_ALL,4.8247,2020.0,210.15
2025-11-14T13:05:56.657500+05:30,READ_ALL,0.9581999999999999,-4.0,210.15
2025-11-14T13:05:56.846701900+05:30,READ_ALL,0.8689,736.0,210.15
2025-11-14T13:05:56.846798600+05:30,READ_ALL,8.7514,20.0,210.15
2025-11-14T13:05:56.856340500+05:30,READ_ALL,1.4002999999999999,-1736.0,210.15
2025-11-14T13:06:51.577625500+05:30,READ_ALL,0.9082,884.0,0.0
2025-11-14T13:06:51.799304800+05:30,READ_ALL,1.356,192.0,234.33
2025-11-14T13:06:52.100963+05:30,READ_ALL,0.7686999999999999,-220.0,234.33
2025-11-14T13:06:52.106504100+05:30,READ_ALL,13.3333,2004.0,234.33
2025-11-14T13:06:52.120584900+05:30,READ_ALL,0.8728,1248.0,234.33
2025-11-14T13:06:52.120858500+05:30,READ_ALL,1.1458,1248.0,234.33
2025-11-14T13:06:52.121222900+05:30,READ_ALL,1.4194,1248.0,234.33
2025-11-14T13:06:52.308012800+05:30,READ_ALL,1.219,64.0,234.33
2025-11-14T13:06:52.308034200+05:30,READ_ALL,0.9759,768.0,234.33
2025-11-14T13:06:52.327524800+05:30,READ_ALL,0.9684999999999999,-760.0,234.33
2025-11-14T13:06:52.611770200+05:30,READ_ALL,1.2331,-216.0,234.33
2025-11-14T13:06:52.611914200+05:30,READ_ALL,11.0108,-1712.0,234.33
2025-11-14T13:06:52.611851700+05:30,READ_ALL,0.7856,-216.0,234.33
2025-11-14T13:06:52.611624900+05:30,READ_ALL,0.9259000000000001,-216.0,234.33
2025-11-14T13:06:52.620265800+05:30,READ_ALL,1.3446,-3880.0,234.33
